,Skills
518,Oracle Unified Directory (OUD)
519,Platform as a Service (PaaS)
520,Plesk
521,QualysGuard
522,Rackspace Cloud
523,Red Hat CloudForms
524,RemedyForce (Ticket Management Software)
525,Rich Ui
526,Ringcentral
527,Sensu
528,SkyKick
529,SnapLogic
530,SOASTA CloudTest
531,Software as a Service (SaaS)
532,Spring Cloud
533,Spring Cloud Gateway
534,Spring Cloud Netflix
535,Spring Cloud Stream
536,Stackdriver
537,Storage As A Service (STaaS)
538,Talend
539,TIBCO Designer
540,Twilio
541,VMWare Workspace ONE
542,Weebly
543,WSO2 ESB
544,Wufoo
545,XStream
546,Zuora
547,Atlassian Confluence
548,Collabnet
549,Collaborative Software
550,Hipchat
551,IBM Rational Team Concert (Collaboration Tool)
552,IBM Sametime
553,Microsoft Lync
554,Microsoft SharePoint
555,Microsoft Sharepoint Foundation
556,Microsoft SharePoint Workspace
557,Miro
558,Novell Groupwise
559,Rational Requisitepro
560,SAP Jam
561,SharePoint Portal Server
562,Wss 3.0
563,Zimbra
564,64bit
565,Amd Processor
566,Apple IPod
567,ARM Architecture Microprocessors
568,Auxiliary Memory
569,Blackberry
570,Compact Discs
571,CompactPCI
572,CompactRIO
573,Computer Displays
574,Computer Hardware
575,Conventional PCI
576,Cortex M
577,Data Center Hardware
578,Data Processing Unit
579,Data Terminal Equipment
580,DDR SDRAM
581,Dell OptiPlex
582,Disk Array Controllers
583,Disk Arrays
584,Disk Controller
585,Disk Subsystems
586,DLX
587,Docking (Computers)
588,Dot Matrix Printers
589,Dual In-Line Memory Module (DIMM)
590,Electronic Displays
591,Erasable Programmable Read Only Memory (EPROM)
592,Expansion Cards
593,Graphics Hardwares
594,Graphics Processing Unit (GPU)
595,Hardware Adapters
596,HP 3000
597,HP Computers
598,HP Printers
599,HP Thin Clients
600,HP Workstations
601,I/O Processor
602,IBM Microprocessors
603,IBM Personal Computing
604,IBM RAD
605,IBM System I
606,IMac
607,Input Devices
608,Intel Architecture 32-Bit (I386)
609,Internet Appliance
610,Itanium
611,KVM Switch
612,Laser Printers
613,Linux-Powered Devices
614,Mac Mini
615,Macintosh Hardware
616,Magnetoresistive Random-Access Memory
617,Master Boot Records
618,Memory Controller
619,Memory Module
620,Memory Systems
621,MicroBlaze
622,Microchipping
623,Microcomputer
624,Microcontrollers
625,Microprocessor
626,Microsoft Hardware
627,Midrange Computer
628,Minicomputers
629,Monitor Control Command Set
630,Motherboard
631,Multi-Core Processors
632,Multiplexers
633,Netbook
634,Network Printers
635,Next Unit Of Computing (NUC)
636,Non-Volatile Random-Access Memory
637,Open Interface
638,PCI Express
639,Peripheral Component Interconnect (PCI)
640,Peripheral Devices
641,PIC Microcontrollers
642,Plotters
643,Pocket PC
644,Powerpc
645,Programmable Logic Controller Control Panel
646,Proprietary Hardware
647,Reduced Instruction Set Computing
648,RISC System/6000
649,Serial Advanced Technology Attachment (SATA)
650,Serial Attached SCSI
651,Sound Cards
652,Stm32
653,Surface Pro
654,System Console
655,System On A Chip
656,Texas Instruments TMS320
657,TI MSP430
658,Touchscreen
659,Universal Asynchronous Receiver/Transmitter
660,Usart
661,USB
662,Video Cards
663,Video Game Console
664,Visual Instruction Set
665,VMEbus
666,Volatile Memory
667,Wireless Keyboard
668,X86 Architecture
669,X86-64
670,Xbox One
671,Xeon Phi
672,Zebra Printers
673,Abstract Data Types
674,Abstraction Layers
675,Abstractions
676,Advanced RISC Computing
677,Algorithm Analysis
678,Algorithm Design
679,Algorithms
680,American Standard Code For Information Interchange (ASCII)
681,ARM Architecture
682,Automated Information Systems
683,Automated Reasoning
684,Automated Theorem Proving
685,Automation
686,Autonomic Computing
687,Bare Metal
688,Binary Search Algorithms
689,Binary Search Trees
690,Binary Space Partitioning
691,Blobs
692,Boolean Expression
693,Boolean Search
694,Bootstrapping
695,Business Logic
696,Coding Theory
697,Collision Detection
698,Compiler Theories
699,Complexity Theory
700,Computational Complexity Theories
701,Computer Architecture
702,Computer Clusters
703,Computer Programming
704,Computer Science
705,Computer Systems
706,Computing Platforms
707,Conditional Statements
708,Cryptanalysis
709,Cyberinfrastructure
710,Data Architecture
711,Data Centers
712,Data Compression
713,Data Encoding
714,Data Flow Diagram
715,Data Fusion
716,Data Interfaces
717,Data Pipelines
718,Data Structures
719,Database Programming
720,Database Theory
721,Decision Tables
722,Deserialization
723,Desktop Environments
724,Digital Systems
725,Digitization
726,Discrete Systems
727,Disk Io
728,Dynamic Infrastructure
729,Electronic Data Processing
730,Embedded Software
731,Embedded Systems
732,Emerging Technologies
733,Encodings
734,Event Bus
735,Evolutionary Algorithm
736,Execution Time
737,File I/O
738,File Structure
739,Floating Point Algorithm
740,Formal Verification
741,Fuzzy Logic
742,Global Information Systems
743,Hardware Abstraction
744,High Performance Computing
745,Indexing
746,Information And Communications Technology
747,Information Processor
748,Information Retrieval
749,Information Systems
750,Information Technology
751,Information Technology Architecture
752,Information Theory
753,Infrastructure Architecture
754,Input/Output
755,Interactive Computing
756,IT Infrastructure
757,JPEG 2000
758,Knowledge Engineering
759,Linked Lists
760,Loose Coupling
761,Machine Code
762,Machine-Generated Data
763,Memory Management
764,Message Passing Interface
765,Multiprocessing
766,Multithreading
767,Mutual Exclusion (Mutex)
768,Network Science
769,Network Theory
770,Nvidia CUDA
771,Object-Relational Mapping
772,Opcodes
773,Operating Systems
774,Parsing
775,Path Finding
776,Pattern Matching
777,Physical Computing
778,Programming Concepts
779,Pseudocode
780,Read Code
781,Real-Time Computing
782,Regular Expressions
783,Remote Computing
784,Reversed Compound Agent Theorem
785,Rule-Based Systems
786,Script Task
787,Search Algorithms
788,Self Service Technologies
789,Semantic Web
790,Serialization
791,Session (Computer Science)
792,Signal Handling
793,SIMD
794,Small Computer System Interface (SCSI)
795,Social Computing
796,Software Systems
797,Stored Procedure
798,Subroutine
799,Substrings
800,Supercomputing
801,System Call
802,System Software
803,Technical Analysis
804,Technical Analysis Software
805,Text Files
806,Text Manipulation
807,Tokenization
808,Topology
809,Transaction Processing (Computing)
810,User Objects
811,Virtual Memory
812,AccuRev SCM
813,Apple Configurator
814,AWS OpsWorks
815,CA Software Change Management
816,CFEngines
817,Chef (Configuration Management Tool)
818,Config Files
819,Configuration Item
820,Configuration Management
821,Configuration Management Databases
822,Configurators
823,Desired State Configuration
824,Hardware Configuration Management
825,Ifconfig
826,Ipconfig
827,Micro Focus UCMDB
828,Multitopology Routing Configuration
829,Network Configuration And Change Management
830,Physical Configuration Audit
831,Product Configuration
832,Profile Configuration Files
833,Puppet (Configuration Management Tool)
834,SAP Configuration
835,Server Configuration
836,Software Configuration Management
837,Spring Cloud Config
838,System Center Configuration Manager
839,System Configuration
840,WebConfig
841,XML Configuration Access Protocols
842,Adobe CQ
843,Adobe Experience Manager
844,Authoring Systems
845,Blogger (Service)
846,Concrete5
847,Content Management Framework
848,Content Management Systems
849,Day Cq
850,Documentum
851,DotNetNuke
852,Drupal
853,Ektron
854,EZ Publish
855,FatWire
856,Google Search Appliance
857,Hyland OnBase
858,IBM Content Manager
859,Joomla (Content Management System)
860,Kentico
861,Microsoft Content Management Servers
862,Microsoft Stream
863,MODX
864,Omeka
865,OpenDeploy
866,Plone
867,Sitecore (Software)
868,Sitefinity
869,Teamsite
870,Tridion
871,TYPO3
872,Umbraco
873,Web Content Management Systems
874,Wix
875,WordPress
876,WordPress Admin
877,Zope (CMS)
878,Acronis True Image
879,Acunetix
880,Advanced Encryption Standard (AES)
881,Advanced Security Analytics
882,AlienVault
883,Amazon GuardDuty
884,Amazon Inspector
885,Amazon Macie
886,Anomaly Detection
887,Anti-Spam Techniques
888,Application Level Gateways
889,Application Security
890,Application Security Testing
891,ArcSight Enterprise Security Manager
892,ASC X12 Standards
893,Assessment And Authorization
894,Attack Patterns
895,Attack Surface Management
896,Audit Info System (AIS)
897,AWS CloudHSM
898,AWS CloudTrail
899,AWS Key Management Service (KMS)
900,Azure Policy
901,Azure Security
902,Azure Sentinel
903,Big Ip
904,Brakeman
905,Brute Force Attacks
906,Buffer Overflow
907,Burp Suite
908,Catastrophic Failure
909,CCURE (Security And Event Management System)
910,Certificate Authority
911,Certificate Signing Request
912,Certification Structure Oversight Committee (CSOC)
913,Challenge Response Authentication Mechanism
914,Charles Proxy
915,Checkmarx
916,Cipher
917,Claroty
918,Classified Information
919,Client Certificates
920,Cloud Penetration Testing
921,Cloud Security Applications
922,Cloudflare
923,Code Injection
924,Code Signing
925,Codecs
926,Common Controls
927,Common Criteria (IT Framework)
928,Common Vulnerability Scoring System (CVSS)
929,Communications Security
930,Computer And Network Surveillance
931,Computer Fraud
932,Computer Security
933,Computer Security Awareness Training
934,Computer Security Incident Response
935,Container Security
936,Content Filtering
937,Content Security Policy
938,Control Objectives For Information And Related Technology (COBIT)
939,Crimeware
940,Critical Program Information
941,Cross-Domain Solutions
942,Cross-Site Request Forgery
943,Cross-Site Scripting
944,Cryptographic Keys
945,Cryptographic Protocols
946,Cryptography
947,Cyber Defense
948,Cyber Engineering
949,Cyber Governance
950,Cyber Hygiene
951,Cyber Incident Response
952,Cyber Kill Chain Framework
953,Cyber Operations
954,Cyber Risk
955,Cyber Safety
956,Cyber Security
957,Cyber Security Assessment
958,Cyber Security Policies
959,Cyber Security Policy Development
960,Cyber Security Standards
961,Cyber Security Strategy
962,Cyber Security Systems
963,Cyber Threat Hunting
964,Cyber Warfare
965,CyberX
966,Data Encryption
967,Data Loss Prevention
968,Data Protection Strategy
969,Data Security
970,Database Encryption
971,Database Scanners
972,Database Security
973,DCID 6/3
974,DDoS Mitigation
975,Defense In Depth
976,Denial-Of-Service (DoS) Attacks
977,Department Of Defense (DoD) 8500 Series
978,Department Of Defense (DoD) 8510
979,Device Fingerprint
980,Digital Guardian
981,Digital Security
982,Digital Signature
983,DISA Gold Disk
984,Distributed Denial-Of-Service (DDoS) Attacks
985,Djbdns
986,DNS Spoofing
987,Domainkeys Identified Mail
988,Dynamic Application Security Testing (DAST)
989,Elliptic Curve Cryptography
990,Email Filtering
991,Encryption
992,Encryption Software
993,Endpoint Detection And Response
994,Endpoint Security
995,Enterprise Mission Assurance Support Service (eMASS)
996,Enterprise Security
997,Ethical Hacking
998,Event Monitoring
999,Federal Information Processing Standards (FIPS)
1000,Federal Information Security Management Act
1001,Vulnerability
1002,FedRAMP
1003,File Inclusion Vulnerability
1004,Firmware Security
1005,Folder Security
1006,Ghidra (Reverse Engineering Software)
1007,GIAC Intrusion Prevention
1008,HackerOne
1009,Hardening
1010,Hardware Security
1011,Hardware Security Module
1012,HCL AppScan
1013,Heuristic Evaluation
1014,High Assurance Internet Protocols Encryptor
1015,Honeypots (Computing)
1016,Host Based Security System (HBSS)
1017,HP WebInspect
1018,IBM Guardium
1019,IBM QRadar (SIEM Software)
1020,IBM Resilient
1021,ICD 503
1022,iDefense
1023,Incident Response
1024,Information Assurance
1025,Information Assurance Vulnerability Management (IAVM)
1026,Information Privacy
1027,Information Security Audits
1028,Information Systems Security
1029,Information Technology Security Systems
1030,Information Warfare
1031,Infrastructure Security
1032,Insider Threat
1033,Internet Security
1034,Inter-Process Communication
1035,IntruShield
1036,Intrusion Prevention Systems
1037,ISO/IEC 27000-Series
1038,ISO/IEC 27001
1039,ISO/IEC 27002
1040,IT Security Architecture
1041,Java Security
1042,Kali Linux
1043,Key Derivation Function
1044,Key Management
1045,Key Stretching
1046,Keychain
1047,Lightweight Extensible Authentication Protocols
1048,Linux Security Modules
1049,Logical Security
1050,McAfee Enterprise Security Manager
1051,Messaging Security
1052,Metasploit
1053,Microservices Security
1054,Microsoft Forefront
1055,Mobile Application Penetration Testing
1056,Mobile Security
1057,Multilevel Security
1058,Netskope
1059,Nikto Web Scanner
1060,NIST 800
1061,NIST 800-37
1062,NIST 800-53
1063,Offensive Security
1064,Offsite Data Protection
1065,Open Source Security Testing Methodology
1066,Open Web Application Security Project (OWASP)
1067,OpenSSL
1068,Openswan
1069,OpenVAS
1070,Operational Technology (OT) Security
1071,Password Cracking
1072,Penetration Testing
1073,Peoplesoft Security
1074,Personally Identifiable Information
1075,Phishing
1076,Plan Of Action And Milestones (POA&M)
1077,Pretty Good Privacy (PGP)
1078,Privacy Impact Assessments
1079,Privilege Escalation
1080,Privilege Separation
1081,Program Protection Plans
1082,Public Key Certificates
1083,Public Key Cryptography
1084,Public Key Cryptography Standards (PKCS)
1085,Public Key Infrastructure
1086,Quantum Cryptography
1087,Radware
1088,Random Number Generation
1089,Rapid7
1090,Recaptcha
1091,Registration Authority
1092,RSA (Cryptosystem)
1093,Salesforce Security
1094,SAP Security
1095,Secure Coding
1096,Secure Messaging
1097,Secure Operating Systems
1098,Secure Voice
1099,Secure/Multipurpose Internet Mail Extensions (S/MIME)
1100,Security Accounts Manager
1101,Security Content Automation Protocol
1102,Security Context
1103,Security Engineering
1104,Security Implementation
1105,Security Information And Event Management (SIEM)
1106,Security Patterns
1107,Security Recommendations
1108,Security Requirements Analysis
1109,Security Software
1110,Security Testing
1111,Selinux
1112,Server Hardening
1113,Serverless Security
1114,Snort (Intrusion Detection System)
1115,Social Engineering
1116,Software Protection
1117,Software Security
1118,Software Security Architecture
1119,Solaris Trusted Extensions
1120,Splunk Enterprise Security
1121,Spring Security
1122,SQL Injection
1123,Sqlmap
1124,Ssh Keys
1125,Static Application Security Testing (SAST)
1126,Steganography
1127,Symmetric Key
1128,System Security Analysis
1129,Thick Client Penetration Testing
1130,ThreadFix
1131,Threat Detection
1132,Threat Management
1133,Threat Modeling
1134,ThreatConnect
1135,Triple DES
1136,Trusted Computing
1137,Trusted Platform Module
1138,Trusted Systems
1139,Truststore
1140,United States Government Configuration Baseline (USGCB)
1141,Unix Security
1142,Virtualization Security
1143,Vormetric Transparent Encryption (VTE)
1144,Vulnerability Assessments
1145,Vulnerability Discovery
1146,Vulnerability Management
1147,Vulnerability Scanning
1148,WCF Security
1149,Web Application Attack And Audit Framework (W3AF)
1150,Web Application Penetration Testing
1151,Web Application Security
1152,Web Filtering
1153,Website Monitoring
1154,Wireless Penetration Testing
1155,Wireless Security Testing
1156,WS-Security
1157,Xacta
1158,Aggregator
1159,Beautifulsoup
1160,Data Acquisition
1161,Data Collection
1162,Data Extraction
1163,Data Recording
1164,Nutch
1165,Remote Data Capture
1166,Scrapy (Web Crawler)
1167,Sensor Fusion
1168,Telegraf
1169,Web Crawling
1170,Web Scraping
1171,ActiveSync
1172,Alembic (Data Migration Tool)
1173,Apache Accumulo
1174,Apache Atlas
1175,Apache JackRabbit
1176,Application Data
1177,Attunity
1178,Batch Updates
1179,Bulk Import
1180,Connected Data Objects
1181,Content Engineering
1182,Controlled Vocabulary
1183,Custom Fields
1184,Custom Object
1185,Data Abstraction
1186,Data Administration
1187,Data Classification
1188,Data Compilation
1189,Data Conditioning
1190,Data Consistency
1191,Data Control
1192,Data Corruption
1193,Data Curation
1194,Data Dictionary
1195,Data Domain
1196,Data Duplication Management
1197,Data Ethics
1198,Data Exchange
1199,Data Feed
1200,Data Files
1201,Data Governance
1202,Data Hub
1203,Data Integrity
1204,Data Libraries
1205,Data Localization
1206,Data Maintenance
1207,Data Management
1208,Data Management Plan
1209,Data Management Platforms
1210,Data Mapping
1211,Data Masking
1212,Data Migration
1213,Data Processing
1214,Data Processing Systems
1215,Data Quality
1216,Data Recovery
1217,Data Recovery Software
1218,Data Redundancy
1219,Data Remanence
1220,Data Retention
1221,Data Retrieval
1222,Data Sharing
1223,Data Structure Alignment
1224,Data Synchronization
1225,Data Taxonomy
1226,Data Transposition
1227,Data Virtualization
1228,Data Wrangling
1229,Datacap
1230,DataFlux
1231,Dataset
1232,Dataspaces
1233,Denodo
1234,Dfsort
1235,Directory Structure
1236,Dirty Data
1237,Dynamic Data
1238,Electronic Reporting Systems
1239,Electronically Stored Information
1240,FastExport
1241,File Importing
1242,File Manager
1243,File Transfer
1244,FileMan
1245,Fixed Format
1246,Format Conversion
1247,Global Data Synchronization Networks
1248,Hierarchical Data Format
1249,IBM DB2
1250,IBM Initiate
1251,IBM Master Data Management
1252,IBM Optim
1253,IDoc
1254,Informatica Master Data Management
1255,Information Governance And Management
1256,Information Lifecycle Management
1257,Information Management
1258,Information Ordering
1259,Information Organization
1260,Information Processing
1261,Kalido
1262,Kapacitor
1263,Legacy System Migration Workbench
