,Unnamed: 0,Job Name,Date,Link,job_description
10,10,IT Specialist,04/04/2023,https://www.wadhefa.com/english/details/job/48522/search/,"- Al-Majarah corner trading co. , is looking for a full-time,This position will be responsible for SAP security in a diverse SAP environment (SAP R / 3, ECC6.0, BW etc ...) and serve as an SAP security subject matter expert by working with SAP integrators to assist in the design and build of security authorizations. 5+ years of experience who will be working in our corporate office in Riyadh, knowledge of it /SAP program In order to effectively grow business.

Responsibilities:
• Primary Responsibilities:
1. Use your skills, experience and talents to be a part of groundbreaking thinking and visionary goals. As a Security Analyst, you'll take the lead as you Knowledge of basic Design, development and analysis of end user and technical security roles.
2. Knowledge of Configuration and maintenance of GRC.
3. Development and maintenance of SOD (RAR) rule sets.
4. Ability of Evaluation, design and implementation of system / role / user / process compliance controls and documentation.
5. Assist in definition and development of SAP security policies and procedures.
6. Able to gather requirements provide security and technical expertise to support development of security objects Prepare and maintain documentation as needed.
7. Work with business areas and project teams to troubleshoot issues with security objects and identify and implement appropriate solutions.
• Weekly report tasks."
11,11,computer engineer,03/19/2023,https://www.wadhefa.com/english/details/job/70632/search/,"Sales engineer in the field of computers and information technology

mission :

Marketing products and services in the field of computers and information technology

Obtaining projects, contracts and tenders in the field of computer and information technology with government agencies and major companies"
12,12,ERP Consultant,03/17/2023,https://www.wadhefa.com/english/details/job/70712/search/,- An ERP consultant is required to work in Madinah
13,13,Technical support employee,03/17/2023,https://www.wadhefa.com/english/details/job/70711/search/,A technical support employee is required to work in Medina
14,14,Government procurement representative,03/14/2023,https://www.wadhefa.com/english/details/job/70578/search/,A government procurement representative is required to conduct government contracts and technical projects
15,15,Information Technology Project Manager,03/13/2023,https://www.wadhefa.com/english/details/job/70548/search/,A technical project manager is required to work in the field of government contracts in Riyadh
16,16,Information technology officer,03/12/2023,https://www.wadhefa.com/english/details/job/48557/search/,"- This position will be responsible for SAP Business one as functional, administration and SAP customer checkout (CCO) administration with minimum end to end implementation experience in order to effectively grow business.
Responsibilities:
• Primary Responsibilities:
1. SAP Business one full modules
2. SAP HANA Administration
3. Basics of Linux os Administration
4. Basics of Windows and Windows server 2016 or up os Administration
5. SAP Customer Checkout Administration
6. Business knowledge in all SAP Modules
7. CCTV admin control
8. Network management
9. Hardware management
10. Weekly report tasks."
17,17,Telecom and central technician,02/27/2023,https://www.wadhefa.com/english/details/job/66478/search/,"Knowledge of transmission, broadcasting, switching, control and operation of communication systems
Follow-up network problems and work to solve them under the supervision of the network engineer
- Maintenance of equipment Routine maintenance tools on equipment and determining when and what type of maintenance is needed
- Testing repaired, newly installed or upgraded equipment to ensure it is operating properly and meeting specifications
- Testing faulty circuits and components of telecommunications equipment to identify and repair fault sources"
18,18,Information technology employee,02/25/2023,https://www.wadhefa.com/english/details/job/70058/search/,An IT employee is required to work for a company in Riyadh
19,19,IT technician,02/13/2023,https://www.wadhefa.com/english/details/job/69749/search/,"- Position: IT Technician
- Location: Jeddah"
20,20,Point of sale support technician,02/11/2023,https://www.wadhefa.com/english/details/job/69713/search/,"functional purpose:
- As a POS Hardware Support Technician, you will work as a member of the technical support team and will report directly to the Operations Manager and will be required to assemble and configure POS hardware and will provide onsite and offsite support, telephone support, and remote access hardware and software support to our customers

Role and responsibilities:
Install software and hardware at customer sites, and run and connect all cabling between and in hardware
- Prepare, configure, and test hardware and software components
- Provide telephone, remote and on-site support to customers in order to provide prompt resolution of problems
Provide training to customers regarding software, hardware, and troubleshooting techniques
Maintain technical knowledge related to our range of hardware, software and industry product lines


How to apply:
Application is currently available by entering and filling out the application at the link: https://forms.gle/XdipiFx2JjSwcK2J6"
21,21,Computer trainer,02/06/2023,https://www.wadhefa.com/english/details/job/69570/search/,"A computer trainer with experience in programming languages, networks, design and Office is required"
22,22,Technical support specialist,02/05/2023,https://www.wadhefa.com/english/details/job/69568/search/,"Role responsibilities:
- Providing technical support for available requests and local technical support for the application of representatives
- Testing and evaluating payment methods locally as well as testing the teller and merchant portal
- Request available items with available orders
Provide login information for store users and accountants"
23,23,Technical Support Specialist,02/03/2023,https://www.wadhefa.com/english/details/job/69520/search/,"Role responsibilities: 
- Providing impeccable Live Orders Technical Support and Representatives App Local Technical Support.
- Escalating issues to Level 2 Support after investigation.
- Testing and evaluating payment methods locally as well as cashier/merchant portal testing.  
- Ordering items/availabilities with Live Orders. 
- Providing Login information for Cashier/Merchants users."
24,24,Security cameras and systems technician,01/29/2023,https://www.wadhefa.com/english/details/job/69388/search/,- Security Camera & Security Systems Technician
25,25,Head of Information Technology,01/12/2023,https://www.wadhefa.com/english/details/job/68865/search/,A Chief Information Technology Officer (CTO) is required to work for a holding company based in Riyadh that includes a group of small and medium companies working in various service activities and leading the development and technology department in all aspects of our business in order to ensure the appropriate use of the latest technologies for our companies
26,26,Information technology specialist,01/05/2023,https://www.wadhefa.com/english/details/job/68716/search/,"• Monitor the IT support portal and assign the task to a concerned team member and escalate issues that are not properly resolved to the appropriate internal level
• Prioritizing and managing multiple open cases simultaneously
• Analyze call logs to discover common trends and underlying problems
• Updating self-help documents so employees can try to fix problems themselves
• Work with staff to identify computer problems and advise on a solution
• Installing and configuring computer operating systems and applications
• Monitor and maintain computer systems and networks
• Troubleshoot system and network problems, and diagnose and resolve hardware or software errors
• Diagnose and troubleshoot technical issues, including account setup and network configuration
• Track computer system problems until resolved, within agreed time limits
• Talk users through a series of actions, either via phone, email or chat, until a technical issue is resolved
• Ensure all issues are properly recorded
• Follow up with clients to ensure that their IT systems are fully functional after troubleshooting
• Preparing accurate and timely reports
• Monitor and maintain Parlor VPN connection"
27,27,collection officer,12/25/2022,https://www.wadhefa.com/english/details/job/68359/search/,"- Recovering the company's money and debts from customers
Preparing and maintaining detailed records of customers and their accounts
Ensure that all necessary information about the client is available
Maintain confidentiality of all collection information"
28,28,Technical Support Officer - Tamheer,12/20/2022,https://www.wadhefa.com/english/details/job/68246/search/,"- Assist in resolving technical issues
Provide support to customers and company engineers by troubleshooting
- Review trial copies of programs to verify the technical features and services
- Providing technical support through some support applications and communication with customers such as TeamViewer
Follow-up cases of technical tickets at support with the rest of the technical team members
Contribute to providing training to the user on the functions and features of the system"
29,29,Information technology specialist,12/19/2022,https://www.wadhefa.com/english/details/job/68235/search/,"Objectives of this role:
Maintain core IT operations, including operating systems, security tools, applications, servers, email systems, laptops, desktops, software, and hardware
Handling business-critical IT tasks and system improvements
- Enabling faster and smarter business processes and employee productivity
Research and evaluate emerging technologies, hardware and software
Act as a subject matter expert supporting Mac OS X and Windows operating systems and widely used software and applications, such as Microsoft, Adobe and Google Workspace.

Responsibilities:
Install, configure, and support workstation software, hardware, printers, and phones
Analyzing staff needs, identifying weaknesses, and increasing efficiency and accuracy
Carry out systems and network design, documentation, implementation, testing, and management, ensuring that components meet business needs and work together seamlessly
- Perform application and software upgrades and troubleshoot any performance issues
- Training employees on the use of software and hardware, and providing technical support when needed"
30,30,Information technology technician,12/17/2022,https://www.wadhefa.com/english/details/job/68179/search/,"- Diagnose and troubleshoot technical problems
- Install and monitor the performance of servers, devices, and firewalls
Training new system users and setting up their accounts
Install appropriate software and functions according to specifications and needs
Develop and maintain internal networks in ways to improve performance
Protect and ensure the security and privacy of networks and computer systems"
31,31,Information technology technician,12/08/2022,https://www.wadhefa.com/english/details/job/67976/search/,"- Determining the needs of technical programs and systems and working on developing them and enhancing the electronic linking processes in accordance with the e-government requirements and the Ministry's strategy
Ensure the readiness, safety and security of all technical devices and operating systems and monitor their performance
Providing support and technical assistance services to all organizational units in the Ministry
Preparing systems to manage the content of the Ministry's website on the Internet
Programming, preserving, retrieving and modifying information and data systems for the Ministry's activities
- Designing, maintaining and updating the Internet system and the Ministry's website on a regular basis"
32,32,Client Account Manager,12/04/2022,https://www.wadhefa.com/english/details/job/67815/search/,"Job Description:
• Manage a portfolio of VIP client accounts, maintain relationships with key clients and build new relationships, and oversee the delivery of solutions to clients

mission:
• Act as the main point of contact on all matters relating to clients' concerns and needs
• Develop a comprehensive understanding of our products and services to improve selling to customers
• Building and strengthening relationships with customers to achieve long-term partnerships
• Planning a schedule of monthly visits to meet clients and discuss their requirements
• Maintain accurate client records, and follow up on any contract updates and renewals
• Work with sales and other internal teams to develop strategic marketing plans and ensure that KPIs are met"
33,33,Information technology engineer,12/04/2022,https://www.wadhefa.com/english/details/job/67814/search/,"- Active Directory and Multi domain site and services deploy, manage and control for many branches for Microsoft business application 
- DHCP server Configuration and IP management 
- Exchange server 2016 configuration and daily activity enable new mailboxes manage it mailbox quota backup and restore as per company user required 
- Symantec Endpoint protection 14.x administration installation removal and external Device access management 
- Sophos firewall configuration configure site VPN branches connectivity and SSL VPN, control IPS, Apps and web filter and daily basis log monitoring and analysis 
- WAN Cisco Router DIA IPVPN GRE new and exist branches configuration and coordinating with ISP 
- LAN switch configuration
- WiMax setup, design, configuration and monitoring for non-disruption local branches business continuity 
- Wireless Access point configuration and MAC filtering and support 
- Complete System Monitoring and analysis through PRTG and MRTG tools"
34,34,RPA Developer,12/01/2022,https://www.wadhefa.com/english/details/job/67754/search/,"- We are looking for RPA Developers to join our team on a permanent basis. The right person will want to work within an intelligent, motivated, self-driven team with low egos, good communication skills and an effective problem solving approach. You would also be very conscious of the importance of sharing knowledge and building other team members in the process. Our team must be able to tune into the needs of clients and their higher objectives to solve problems where not all the information is readily available.
- Reporting directly to the Head of Automation Services, you will be responsible for not only designing but also developing the RPA solution. With a client base predominantly in the Saudi Arabia, the ability to work flexible hours is key.

Responsibilities:
• Modelling and developing out robotic processes during the project development stage
• Updating and maintaining Developer Standards around RPA best practices
• Mentoring and guiding peers via code reviews, dev sessions and pair-programming
• Investigating and documenting better practices/alternative solutions that could be used in future development

Minimum Requirement:
• Experience architecting and developing workflow based solutions or functionality
• Experience with web development technologies preferential
• Experience with RPA Software (e.g. BluePrism, UI Path, WorkFusion) advantageous
• Willingness to learn and become an expert in RPA and other automation technologies
• Experience UIPath Certification & RPA Certified
• Must be able to multitask and willing to work on multiple projects at a given time
• Strong written and verbal communication skills
• Comfortable interacting with business stakeholders and external clients
• Ability to work to deadlines and manage expectations
• Strong analytical and problem-solving skills"
35,35,Information technology technician,11/22/2022,https://www.wadhefa.com/english/details/job/67541/search/,"Data entry operations
- Moving devices from one place to another as needed
Handling documents"
36,36,Network Engineer,11/20/2022,https://www.wadhefa.com/english/details/job/67478/search/,"- Preparing and installing network equipment within the company
Server management and maintenance"
37,37,Data entry and processing,11/17/2022,https://www.wadhefa.com/english/details/job/67431/search/,"Data entry operations
Processing inventory data and updating the system
Processing purchase orders, work orders and transfer orders
Process invoices for submission to Finance
Checking pending posting documents and following up warehouses or departments
- Preparing reports requested by management
- Coordination and follow-up with other departments
- Attend end user IT calls and coordination
Documentation and written works
- Moving devices from one place to another as needed
- Travel to branches for any support"
38,38,Sales Representative,11/14/2022,https://www.wadhefa.com/english/details/job/67303/search/,"- Targeting, interviewing and persuading customers
- Preparing sales invoices
- Implementation of sales, promotion and marketing of the company's services and products"
39,39,Marketing and Sales Specialist,11/09/2022,https://www.wadhefa.com/english/details/job/67119/search/,"Sales marketing in the products of screens and their control systems, and training will be conducted on all specialties of the company during the training period"
40,40,Information technology officer,11/09/2022,https://www.wadhefa.com/english/details/job/67098/search/,"Management and maintenance of computer networks, software systems and applications
Network management and operation
Retrieval of data and information after exposure to a system of destruction
Providing special systems that protect networks from viruses
Presenting suggestions about purchasing new and modern devices and equipment in order to develop the company's internal network
- Building communications networks and the Internet completely
Monitor and follow-up network performance and make adjustments when necessary
Connecting the company's servers to each other
- Creation and design of software, equipment, operating systems and their tests
- Perform regular maintenance
Operation and installation of network equipment
- Prepare data backup
- Setting up the company's internal network
Protect data, software and equipment by organizing, planning and implementing network security standards
- Working with staff and with other groups, whether within the scope of information technology or outside"
41,41,Information technology officer,11/08/2022,https://www.wadhefa.com/english/details/job/67091/search/,"Oversee the development of protocols for the use of information technology across different departments and projects
Advise on the most appropriate IT options
Providing technical support or training for the systems and networks available in the institution
Determining the development requirements based on the study of the company's needs, and setting the necessary plans to achieve the required development
- Follow up the operation of the applied systems, evaluate their efficiency, supervise the analysis of the needs of the departments that use these systems, and develop plans to secure these needs.
Determining the specifications of alternative solutions, additions and necessary updates, and studying their technical and economic feasibility
- Studying and analyzing the problems of operating the systems used, developing radical solutions to prevent their recurrence, presenting them to senior management and supervising their implementation
- Follow up the efficiency of the work of computers, information network and printing devices, and verify their suitability for all requirements
- Follow-up to repair faults as soon as possible and works to reduce faults to a minimum
- Install and configure software and hardware (printers, network cards, and other various devices)
System monitoring and network performance monitoring
- Troubleshoot and work on data recovery
Follow up on maintenance and performance improvement activities (such as preparing backups)
Maintaining licenses, reviewing their validity, and following up on their renewal"
42,42,IT Engineer,11/07/2022,https://www.wadhefa.com/english/details/job/67057/search/,An IT engineer is required to work in the Qassim region
43,43,Computer technician,11/07/2022,https://www.wadhefa.com/english/details/job/67056/search/,A computer technician is required to work in the Qassim region
44,44,IT Specialist,11/06/2022,https://www.wadhefa.com/english/details/job/66994/search/,"- Installation of computer networks and communications networks
Supervising production, installation and maintenance activities, installing computer networks, communication networks, and operational systems, and following performance and quality standards.
Managing the operations of implementing plans and projects for computer networks and communications networks
- Preparing schedules and cost estimates
Diagnosing computer network and communication network malfunctions, following up on repair and maintenance procedures, and conducting the necessary checks to ensure accurate performance
Develop work methods and procedures and keep abreast of technical developments
Preparing documents and specialized reports, participating in their presentation and clarification, and working to save them in its own database in accordance with the approved policies and procedures."
45,45,Network Manager,10/30/2022,https://www.wadhefa.com/english/details/job/66789/search/,"- Supplying and installing network devices inside the company
Adjusting the company's internal network and connecting all computers to it with defining the powers
- Adjust server hardware and provide periodic maintenance for it
- Ensure that the main network and the internal network are working as it should, and report problems with displaying solutions
Presenting recommendations for the purchase of new devices and equipment to develop the company's intranet
Providing protection and security means to avoid problems of hacking and data theft
- Performing any other tasks assigned by the administration and within the scope of his specialization"
46,46,IT Officer,10/19/2022,https://www.wadhefa.com/english/details/job/66528/search/,"Technical Support Responsibilities:
- Troubleshoot technical problems
- Fix bugs
- Solve network and system problems
- Hardware and software installation
- Provide accurate and timely technical support
- Replace or repair computers, laptops, and printer problems"
47,47,Technical support specialist,10/16/2022,https://www.wadhefa.com/english/details/job/66374/search/,"Providing the company with modern technologies and installing them, such as computer equipment, operating systems, software, and applications. Maintaining the company’s computers and equipment periodically. Providing support and assistance to the company’s employees and customers, specifically in technology-related problems, and explaining the problem to them.
Management and maintenance of computer networks, software systems, and applications
Network management and support
Retrieve data and information after the system has been destroyed
- Building communications networks and the Internet completely
Connecting the company's servers to each other
- Perform regular maintenance"
48,48,Sales Officer,10/08/2022,https://www.wadhefa.com/english/details/job/66116/search/,"Selling products to customers and helping them provide products and services that meet their needs and desires
- Concluding agreements, contracts and sales deals with customers and agreeing with them on delivery dates
- Follow up on all products and services offered by the company on a regular basis
Focusing sales efforts on studying the current and future volume of agents
Keeping the management department informed of all sales movements and operations through the company system
Monitoring the behavior of competing companies and studying the labor market by collecting information on the current market, prices, new products and marketing methods
- Provide necessary suggestions on products and services
Attracting new clients and attracting them to the company
- Listen to customer complaints and work to solve them directly
Enriching technical and professional knowledge by attending workshops and participating in relevant events"
49,49,Information technology officer,10/06/2022,https://www.wadhefa.com/english/details/job/66047/search/,"Oversee the development of protocols for the use of information technology across different departments and projects
Advise on the most appropriate IT options
Providing technical support or training for the systems and networks available in the institution
Determining the development requirements based on the study of the company's needs, and setting the necessary plans to achieve the required development
- Follows up the operation of the applied systems, evaluates their efficiency, supervises the analysis of the needs of the departments that use these systems, and sets plans for securing these needs.
Determines the specifications of alternative solutions, additions and updates necessary, and studies their technical and economic feasibility
- He studies and analyzes the problems of operating the systems used, develops radical solutions to prevent their recurrence, presents them to senior management and supervises their implementation
- Follows up the efficiency of the work of computers, information network and printing devices, and verifies their suitability for all requirements
- It continues to fix faults as quickly as possible and works to reduce faults to a minimum
- Install and configure software and hardware (printers, network cards, and other various devices)
System monitoring and network performance monitoring
- Troubleshoot and work on data recovery
Follow up on maintenance and performance improvement activities (such as preparing backups)
Maintaining licenses, reviewing their validity, and following up on their renewal"
50,50,Technical support employee,10/05/2022,https://www.wadhefa.com/english/details/job/66038/search/,"An employee or technical support employee is required to work online in the field of vehicle tracking, communication with customers and solving equipment problems"
51,51,IT technician,09/29/2022,https://www.wadhefa.com/english/details/job/65883/search/,"Providing support and technical assistance to employees and customers who encounter problems in information technology and support them
Determine the tools and supplies required to carry out the work of supporting employees and customers and solving the problems they face
Providing technical information on information technology devices, systems and programs
Save data and information related to technical support operations and prepare and submit work reports"
52,52,IT sales specialist,09/23/2022,https://www.wadhefa.com/english/details/job/65733/search/,"Qualifications and Experience Required
- Ability to explain technical information.
- Good communication skills with different personalities.
- Good understanding of IT devices and technologies and their commercial use.
- Flexibility and ability to work under pressure.
- Excellent presentation, negotiation and persuasion skills.
- The ability to organize time and organize tasks.
- Attention to detail and understanding of customer needs and requirements.
- Proficiency in teamwork skills and cooperation with the work team."
53,53,IT department manager,09/14/2022,https://www.wadhefa.com/english/details/job/65519/search/,"A Director of Information Technology is required to work in Jeddah

Of the responsibilities:
- Assisting in the development of the company in terms of the site and application, raising their quality for the customer, as well as facilitating the daily work within the department
- Providing the addition by linking the tasks of other departments in the technology company
Understand and solve hardware and network related problems
- Data management and protection system
Supervisory and administrative tasks and distribution of work"
54,54,IT technician,09/14/2022,https://www.wadhefa.com/english/details/job/65501/search/,"Providing support and technical assistance to employees and customers who encounter problems in information technology and support them
Determine the tools and supplies required to carry out the work of supporting employees and customers and solving the problems they face
Providing technical information on information technology devices, systems and programs
Save data and information related to technical support operations and prepare and submit work reports"
55,55,Manager of Information Technology,09/14/2022,https://www.wadhefa.com/english/details/job/65481/search/,"Overseeing the network infrastructure and available systems
Manage teams of technicians, system engineers, and other IT staff
- Follow up on computer problems and advise on appropriate solutions
- Follow up on employee and customer data and keep records in an organized manner
- Analyze call logs so you can spot common problems
- Update self-help files so that customers/employees can try to fix problems themselves
- Testing and repair of technical equipment and devices
- Maintaining and optimizing the organization's local networks and servers
- Overseeing data backups and system security"
56,56,Customer service employee,09/13/2022,https://www.wadhefa.com/english/details/job/65455/search/,"Male and female customer service and marketing employees are required to work for a company working in the field of information technology in Riyadh
Job type: part time or full time (morning or evening)
Work five days a week, from Sunday to Thursday

Job details:
- Customer contact
- Responses to customer communications
- Communicate and respond to emails
- Preparing strategic marketing plans
- Study and analyze competitors"
57,57,Information systems administrator,09/01/2022,https://www.wadhefa.com/english/details/job/65079/search/,"Network follow-up, implementation and repair
- Checking operating systems and fixing their malfunctions (computers - printers - others)
- Follow up and implement the development and programming of various systems and update the organization's services through electronic systems
- Follow-up and implementation of systems and software usage manuals and technical manuals for the systems developed and applied in the organization
Working on developing protocols for the use of information technology across different departments and projects
Advise on the most appropriate IT options
Providing technical support or training for the systems and networks available in the organization
Determining development requirements based on studying the needs of the organization, and setting the necessary plans to achieve the required development
- Follows up the operation of the applied systems, evaluates their efficiency, supervises the analysis of the needs of the departments that use these systems, and sets plans for securing these needs.
Defines specifications for alternative solutions, additions and necessary updates, and studies their technical and economic feasibility
He studies and analyzes the problems of operating the systems used, develops radical solutions to prevent their recurrence, presents them to senior management and supervises their implementation
- Follows up the efficiency of the work of computers, information network and printing devices and verifies their suitability for all requirements
- It continues to fix faults as quickly as possible and works to reduce faults to a minimum
- Install and configure software and hardware (printers, network cards, and other various devices)
System monitoring and network performance monitoring
- Troubleshoot and work on data recovery
Follow up on maintenance and performance improvement activities (such as preparing backups)
Maintaining licenses, reviewing their validity and following up on their renewal
The job holder may be required to perform other duties generally in line with the main responsibilities listed above"
58,58,Network Supervisor,08/09/2022,https://www.wadhefa.com/english/details/job/64415/search/,"1- Oversee and direct the design, deployment and maintenance of the company's network and unified communications infrastructure
2- Installation, troubleshooting and maintenance of network and unified communications infrastructure
3- Monitor and manage systems operations, performance, security, reliability and accessibility, ensuring maximum availability, safety and performance
4- Develop, implement and maintain policies and best practices related to network and communications security
5- Research, analyze, recommend and implement software, hardware, tools, systems and processes to provide a state-of-the-art collaboration experience
6- Carry out all activities related to the management of networks and unified communication systems
7- Support and manage firewall environments in line with security policies
8- Responsible for the fixed assets of network and communication infrastructure equipment and their inventory activities
9- Preparing annual budget requirements related to information technology networks and company communications requirements
10- Purchasing IT network and communications equipment and software as needed to meet the company's requirements
11- Liaise with management staff, support staff, technical staff or vendors to resolve issues as required
12- Performing other duties as assigned by management"
59,59,network technician,08/01/2022,https://www.wadhefa.com/english/details/job/64206/search/,"Management and maintenance of computer networks, software systems, and applications
Network management and support
Retrieve data and information after the system has been destroyed
- Building communications networks and the Internet completely
Connecting the company's servers to each other
- Perform regular maintenance
Operation and installation of network devices
- Prepare data backups
- Setting up the company's internal network
Determining the powers and limits of the use of networks
Ensure that the internal, external and home networks are working as they should
- Preparing and submitting reports to describe the nature of malfunctions and problems and providing appropriate solutions to them
Protect data, software, and equipment by organizing, planning, and implementing network security standards
- Troubleshooting and technical problem solving
Presenting proposals for the purchase of new and modern devices and equipment in order to develop the company's internal network
Providing special systems that protect networks from viruses
Monitor and follow up network performance and make adjustments when required
Create, design and test software, hardware, and operating systems
Operation of hardware related to computer network infrastructure such as wireless devices, network routers, and controllers
Use of Internet resources and search for modern electronic products and devices
Build accurate network designs
Providing all means of protection to maintain the protection and security of networks and to avoid hacking and data theft
Cooperating with network users to deal with current network problems
Working with staff and other groups, both within and outside the scope of information technology
Network simulation using dedicated software
Supervising technicians and assistant engineers during network installation"
60,60,IT Specialist,07/31/2022,https://www.wadhefa.com/english/details/job/64174/search/,"- Installing and configuring hardware and software components to ensure usability
- Troubleshooting hardware and software issues
- Ensuring electrical safety standards are met
- Repairing or replacing damaged hardware
- Upgrading the entire system to enable compatible software on all computers
- Installing and upgrading anti-virus software to ensure security at the user level
- Performing tests and evaluations of new software and hardware
- Providing support to users and being the first point of contact for error reporting
- Establishing good relationships with all departments and colleagues
- Conducting daily backup operations
- Managing technical documentation"
