,skills_list,count,rate
207,Computer Security,8,0.013217522658610273
208,Computer Security Awareness Training,8,0.013217522658610273
209,Computer Systems,124,0.23225075528700906
210,Computer Virus,5,0.007552870090634441
211,Computer-Aided Software Engineering,1,0.0
212,Computing Platforms,2,0.0018882175226586102
213,Conceptual Model,2,0.0018882175226586102
214,Conference Room Technology,7,0.011329305135951663
215,Configuration Design,25,0.04531722054380665
216,Configuration Management,27,0.04909365558912387
217,Configuration Management Databases,50,0.0925226586102719
218,Configurators,1,0.0
219,Connect-Direct (Internet Protocols Based Network Software),4,0.005664652567975831
220,Connected Devices,4,0.005664652567975831
221,Containerization,7,0.011329305135951663
222,Content Delivery Networks,11,0.018882175226586105
223,Content Filtering,7,0.011329305135951663
224,Content Management Systems,15,0.026435045317220546
225,Content Pages,1,0.0
226,Content Security Policy,9,0.015105740181268881
227,Continuous Delivery,8,0.013217522658610273
228,Continuous Integration,5,0.007552870090634441
229,Control Objectives For Information And Related Technology (COBIT),9,0.015105740181268881
230,Controlled Image Base,4,0.005664652567975831
231,Core Location Manager (Apple IOS),9,0.015105740181268881
232,Core Text,1,0.0
233,Corporate Data Management,19,0.033987915407854986
234,Credential Manager,1,0.0
235,Cross-Domain Solutions,21,0.03776435045317221
236,Cryptography,7,0.011329305135951663
237,Custom Backend,23,0.04154078549848943
238,Custom Function,4,0.005664652567975831
239,Custom Object,3,0.0037764350453172203
240,Custom Software,3,0.0037764350453172203
241,Custom Web Parts,1,0.0
242,Customer Data Integration,26,0.04720543806646525
243,Customer Information Control System (CICS),4,0.005664652567975831
244,Customer Requirements Analysis,137,0.256797583081571
245,Cyber Defense,1,0.0
246,Cyber Incident Response,7,0.011329305135951663
247,Cyber Operations,3,0.0037764350453172203
248,Cyber Security,130,0.2435800604229607
249,Cyber Security Assessment,30,0.0547583081570997
250,Cyber Security Management,13,0.022658610271903325
251,Cyber Security Policies,2,0.0018882175226586102
252,Cyber Security Standards,49,0.0906344410876133
253,Cyber Security Strategy,1,0.0
254,Cyber Threat Hunting,29,0.05287009063444109
255,Dart (Programming Language),1,0.0
256,Data Acquisition,6,0.009441087613293053
257,Data Administration,3,0.0037764350453172203
258,Data Architecture,31,0.05664652567975831
259,Data Archives,9,0.015105740181268881
260,Data Centers,59,0.1095166163141994
261,Data Classification,9,0.015105740181268881
262,Data Collection,56,0.10385196374622357
263,Data Compilation,9,0.015105740181268881
264,Data Consistency,3,0.0037764350453172203
265,Data Control,6,0.009441087613293053
266,Data Control Language,11,0.018882175226586105
267,Data Conversion,2,0.0018882175226586102
268,Data Direct Networks,10,0.016993957703927493
269,Data Distribution Services,39,0.07175226586102719
270,Data Domain,2,0.0018882175226586102
271,Data Exchange,14,0.024546827794561934
272,Data Extraction,4,0.005664652567975831
273,Data Files,7,0.011329305135951663
274,Data Flow Diagram,10,0.016993957703927493
275,Data Governance,177,0.3323262839879154
276,Data Integration,10,0.016993957703927493
277,Data Integrity,52,0.09629909365558911
278,Data Layers,2,0.0018882175226586102
279,Data Link,1,0.0
280,Data Maintenance,24,0.043429003021148035
281,Data Management,95,0.1774924471299094
282,Data Management Plan,25,0.04531722054380665
283,Data Management Platforms,7,0.011329305135951663
284,Data Mapping,20,0.035876132930513595
285,Data Migration,9,0.015105740181268881
286,Data Privacy Laws,12,0.020770392749244714
287,Data Processing,36,0.06608761329305135
288,Data Processing Systems,15,0.026435045317220546
289,Data Quality,61,0.11329305135951662
290,Data Recording,5,0.007552870090634441
291,Data Recovery,18,0.03209969788519638
292,Data Retention,9,0.015105740181268881
293,Data Retrieval,13,0.022658610271903325
294,Data Security,18,0.03209969788519638
295,Data Steward,6,0.009441087613293053
296,Data Storage Technologies,16,0.028323262839879154
297,Data Structures,13,0.022658610271903325
298,Data System,11,0.018882175226586105
299,Data Transfer Object,3,0.0037764350453172203
300,Data Transformation,8,0.013217522658610273
301,Data Transmissions,2,0.0018882175226586102
302,Data-Centric Testing,1,0.0
303,Database Administration,10,0.016993957703927493
304,Database Application,12,0.020770392749244714
305,Database Deployment Management,2,0.0018882175226586102
306,Database Design,11,0.018882175226586105
307,Database Development,27,0.04909365558912387
308,Database Encryption,3,0.0037764350453172203
309,Database Management Systems,26,0.04720543806646525
310,Database Performance Analyzer,7,0.011329305135951663
311,Database Security,3,0.0037764350453172203
312,Database Servers,6,0.009441087613293053
313,Database Systems,16,0.028323262839879154
314,Database Transactions,15,0.026435045317220546
315,Database Tuning,2,0.0018882175226586102
316,Datadog,4,0.005664652567975831
317,Dataset,32,0.05853474320241692
318,Debian Linux,1,0.0
319,Debugging,70,0.13028700906344412
320,Decoding,1,0.0
321,Deep Learning,17,0.030211480362537763
322,Delphi (Programming Language),1,0.0
323,Demilitarized Zones (DMZ),6,0.009441087613293053
324,Deployment Support,10,0.016993957703927493
325,Desired State Configuration,1,0.0
326,Desktop Computing,15,0.026435045317220546
327,Desktop Support,11,0.018882175226586105
328,DevExpress,1,0.0
329,DevOps,33,0.060422960725075525
330,DevSecOps,5,0.007552870090634441
331,Development Environment,17,0.030211480362537763
332,Development Support,248,0.4663897280966767
333,Development Testing,66,0.12273413897280967
334,Device Drivers,3,0.0037764350453172203
335,Device Fingerprint,23,0.04154078549848943
336,Device Firmware Upgrades,7,0.011329305135951663
337,Device Management,7,0.011329305135951663
338,Device Tracking Software,12,0.020770392749244714
339,Digital Literacy,3,0.0037764350453172203
340,Digital Rights Management,7,0.011329305135951663
341,Digital Security,8,0.013217522658610273
342,Digital Signals,4,0.005664652567975831
343,Digital Technology,169,0.31722054380664655
344,Digital Transformation,209,0.39274924471299094
345,Digitization,661,1.246223564954683
346,Directory Structure,3,0.0037764350453172203
347,Disassembler,8,0.013217522658610273
348,Disciplined Agile Delivery,6,0.009441087613293053
349,Disk Storage,3,0.0037764350453172203
350,Distributed Design Patterns,17,0.030211480362537763
351,Distributed File Systems,16,0.028323262839879154
352,Distributed Revision Control,4,0.005664652567975831
353,Django (Web Framework),2,0.0018882175226586102
354,Docker (Software),8,0.013217522658610273
355,Docker Container,4,0.005664652567975831
356,Document Object Model,1,0.0
357,Document-Oriented Databases,2,0.0018882175226586102
358,Document.write,2,0.0018882175226586102
359,Documentation Based Coding,2,0.0018882175226586102
360,Domain Controllers,2,0.0018882175226586102
361,Domain Driven Design,12,0.020770392749244714
362,Domain Name System (DNS) Servers,27,0.04909365558912387
363,Domain-Specific Language,4,0.005664652567975831
364,Drupal,5,0.007552870090634441
365,Dynamic Host Configuration Protocol (DHCP),12,0.020770392749244714
366,Dynamic Program Analysis,3,0.0037764350453172203
367,Dynamic Web Pages,1,0.0
368,Edge Development Options,2,0.0018882175226586102
369,Elastic Load Balancer,8,0.013217522658610273
370,Elasticsearch,1,0.0
371,Electronic Data Interchange,11,0.018882175226586105
372,Electronic Data Processing,33,0.060422960725075525
373,Electronic Reporting Systems,7,0.011329305135951663
374,Electronically Stored Information,2,0.0018882175226586102
375,Eltron Programming Language,9,0.015105740181268881
376,Emerging Technologies,69,0.1283987915407855
377,Encryption,39,0.07175226586102719
378,End Systems,8,0.013217522658610273
379,Endpoint Devices,4,0.005664652567975831
380,Endpoint Management,2,0.0018882175226586102
381,Endpoint Security,17,0.030211480362537763
382,Enterprise Application Integration,16,0.028323262839879154
383,Enterprise Application Software,122,0.22847432024169184
384,Enterprise Architecture,24,0.043429003021148035
385,Enterprise Content Management,4,0.005664652567975831
386,Enterprise Information Management,14,0.024546827794561934
387,Enterprise Network Security,5,0.007552870090634441
388,Enterprise Risk Management (ERM),7,0.011329305135951663
389,Enterprise Security,7,0.011329305135951663
390,Enterprise Service Bus,3,0.0037764350453172203
391,Enterprise Storage System,3,0.0037764350453172203
392,Entity Framework,10,0.016993957703927493
393,Environment Management,20,0.035876132930513595
394,EtherChannel,1,0.0
395,Ethernet,4,0.005664652567975831
396,Ethical Hacking,4,0.005664652567975831
397,Event Logging,6,0.009441087613293053
398,Event Monitoring,3,0.0037764350453172203
399,Event Viewer,1,0.0
400,Event-Driven Programming,11,0.018882175226586105
401,Evolution-Data Optimized,21,0.03776435045317221
402,Executable,838,1.5804380664652569
403,Execution Time,14,0.024546827794561934
404,Exploratory Testing,6,0.009441087613293053
405,Extensible HyperText Markup Language (XHTML),6,0.009441087613293053
406,Extensible Markup Language (XML),33,0.060422960725075525
407,Extensible Stylesheet Language Transformations (XSLT),3,0.0037764350453172203
408,External Storage,3,0.0037764350453172203
409,Extract Transform Load (ETL),21,0.03776435045317221
410,Extranet,4,0.005664652567975831
411,Failover,1,0.0
412,Failover Clustering,2,0.0018882175226586102
413,Fault Management,4,0.005664652567975831
414,Feature Engineering,4,0.005664652567975831
415,Fiber-Optic Communications,1,0.0
416,File Format,3,0.0037764350453172203
417,File Generation,9,0.015105740181268881
418,File Service Protocol,15,0.026435045317220546
419,File Systems,2,0.0018882175226586102
420,File Transfer Protocol (FTP),7,0.011329305135951663
421,Firewall,112,0.20959214501510573
422,Firmware,3,0.0037764350453172203
423,Flat File Database,8,0.013217522658610273
424,Formula Language,1,0.0
425,Front End (Software Engineering),33,0.060422960725075525
426,Front End Design,11,0.018882175226586105
427,Function Module,1,0.0
428,Functional Design,27,0.04909365558912387
429,Functional Programming,6,0.009441087613293053
430,Functional Requirement,48,0.0887462235649547
431,Functional Specification,14,0.024546827794561934
432,Functional Testing,29,0.05287009063444109
433,Fuzzy Logic,4,0.005664652567975831
434,GIS Applications,2,0.0018882175226586102
435,Game Programming,1,0.0
436,General Packet Radio Service (GPRS),1,0.0
437,Genesys,2,0.0018882175226586102
438,Geographic Information Systems,8,0.013217522658610273
439,Git Flow,10,0.016993957703927493
440,Github,1,0.0
441,Gitlab,3,0.0037764350453172203
442,Global Information Systems,10,0.016993957703927493
443,Go Server,3,0.0037764350453172203
444,Google APIs,1,0.0
445,Google Cloud,12,0.020770392749244714
446,Google Cloud Platform (GCP),17,0.030211480362537763
447,Google Maps,3,0.0037764350453172203
448,Gradle,1,0.0
449,Groovy (Programming Language),1,0.0
450,Group Policy,8,0.013217522658610273
451,HP Printers,3,0.0037764350453172203
452,HP Servers,1,0.0
453,Hard Disk Drives,4,0.005664652567975831
454,Hardware Platform Interface,2,0.0018882175226586102
455,Hardware Security Module,1,0.0
456,Help Desk Support,33,0.060422960725075525
457,Help Files,2,0.0018882175226586102
458,Help System,3,0.0037764350453172203
459,Hibernate (Java),3,0.0037764350453172203
460,Hierarchical Data Format,1,0.0
461,Hierarchical Storage Management,4,0.005664652567975831
462,High Availability Clusters,24,0.043429003021148035
463,High Performance Computing,31,0.05664652567975831
464,High-Level Architecture,406,0.7647280966767371
465,Host Based Security System (HBSS),2,0.0018882175226586102
466,Hotfix,1,0.0
467,Hybrid Cloud Computing,16,0.028323262839879154
468,Hyper SQL Database (HSQLDB),21,0.03776435045317221
469,HyperText Markup Language (HTML),82,0.15294561933534742
470,IBM Forms Server,1,0.0
471,IBM Parallel Sysplex,4,0.005664652567975831
472,IBM QRadar (SIEM Software),13,0.022658610271903325
473,IBM SAN Volume Controllers,3,0.0037764350453172203
474,IBM System P,3,0.0037764350453172203
475,IBM System Z,28,0.050981873111782476
476,IBM WebSphere MQ,4,0.005664652567975831
477,IBM Z/VM,8,0.013217522658610273
478,IIS Manager,18,0.03209969788519638
479,IOS Applications,4,0.005664652567975831
480,IOS Development,9,0.015105740181268881
481,IOS SDK,1,0.0
482,IP Address Management,2,0.0018882175226586102
483,IP Addressing,48,0.0887462235649547
484,IP Routing,7,0.011329305135951663
485,IPSec Tunnels,5,0.007552870090634441
486,IT General Controls (ITGC),26,0.04720543806646525
487,IT Security Architecture,26,0.04720543806646525
488,IText (Free PDF Software),2,0.0018882175226586102
489,In-Memory Database,2,0.0018882175226586102
490,Incident Management,26,0.04720543806646525
491,Incident Response,37,0.06797583081570997
492,Indexer,50,0.0925226586102719
493,Indexing,7,0.011329305135951663
494,Informatics,4,0.005664652567975831
495,Information Access,6,0.009441087613293053
496,Information Assurance,5,0.007552870090634441
497,Information Assurance Vulnerability Management (IAVM),16,0.028323262839879154
498,Information Governance,2,0.0018882175226586102
499,Information Infrastructure,18,0.03209969788519638
500,Information Management,82,0.15294561933534742
501,Information Model,4,0.005664652567975831
502,Information Ordering,16,0.028323262839879154
503,Information Organization,14,0.024546827794561934
504,Information Processing,23,0.04154078549848943
505,Information Retrieval,3,0.0037764350453172203
506,Information Sciences,7,0.011329305135951663
507,Information Security Management,22,0.03965256797583082
508,Information Security Management Systems,5,0.007552870090634441
509,Information Systems,200,0.37575528700906347
510,Information Systems Security,89,0.1661631419939577
511,Information Technology,682,1.2858761329305135
512,Information Technology Architecture,14,0.024546827794561934
513,Information Technology Audits,4,0.005664652567975831
514,Information Technology Controls,1,0.0
515,Information Technology Management,20,0.035876132930513595
516,Information Technology Operations,93,0.17371601208459214
517,Infrastructure Architecture,2,0.0018882175226586102
518,Infrastructure As A Service (IaaS),2,0.0018882175226586102
519,Infrastructure Management,25,0.04531722054380665
520,Infrastructure Management Services,69,0.1283987915407855
521,Infrastructure Security,27,0.04909365558912387
522,Infrastructure as Code (IaC),4,0.005664652567975831
523,Input/Output,4,0.005664652567975831
524,Integrated Access Devices,26,0.04720543806646525
525,Integrated Architecture Framework,3,0.0037764350453172203
526,Integrated Service Routers,1,0.0
527,Integrated Services,39,0.07175226586102719
528,Integration Platforms,9,0.015105740181268881
529,Integration Testing,7,0.011329305135951663
530,Inter-Process Communication,14,0.024546827794561934
531,Interactive Web Content,4,0.005664652567975831
532,Intercom,9,0.015105740181268881
533,Interface Control Document,14,0.024546827794561934
534,Internet Information Services,2,0.0018882175226586102
535,Internet Of Things (IoT),11,0.018882175226586105
536,Internet Protocol Security (IP SEC),30,0.0547583081570997
537,Internet Protocols,44,0.08119335347432025
538,Internet Services,4,0.005664652567975831
539,Internet Small Computer System Interface (ISCSI),6,0.009441087613293053
540,Interoperability,12,0.020770392749244714
541,Intranet,11,0.018882175226586105
542,Intrusion Detection Systems,38,0.06986404833836858
543,Issue Tracking Systems,11,0.018882175226586105
544,JIRA Studio,6,0.009441087613293053
545,JQuery,17,0.030211480362537763
546,JSON,10,0.016993957703927493
547,JSON Web Signature (JWS),3,0.0037764350453172203
548,Java (Programming Language),73,0.13595166163141995
549,Java Application Server,1,0.0
550,Java Development Tools,1,0.0
551,Java EE Application,2,0.0018882175226586102
552,Java Scripting Languages,3,0.0037764350453172203
553,Java Servlet,4,0.005664652567975831
554,Java Specification Requests (JSRs),4,0.005664652567975831
555,JavaScript (Programming Language),57,0.10574018126888218
556,JavaScript Frameworks,2,0.0018882175226586102
557,Jenkins,2,0.0018882175226586102
558,Job Control Language (JCL),18,0.03209969788519638
559,Joint Application Design (JAD),67,0.12462235649546828
560,Joomla (Content Management System),2,0.0018882175226586102
561,Juniper Network Technologies,15,0.026435045317220546
562,Kaspersky Anti-Virus,13,0.022658610271903325
563,Key Derivation Function,5,0.007552870090634441
564,Key Management,32,0.05853474320241692
565,Knowledge Management,45,0.08308157099697885
566,Knowledge Management Software,11,0.018882175226586105
567,Knowledge-Based Configuration,12,0.020770392749244714
568,Knowledge-Based Systems,50,0.0925226586102719
569,Kotlin,3,0.0037764350453172203
570,Kubernetes,20,0.035876132930513595
571,LAMP (Software Bundle),4,0.005664652567975831
572,LAN Switching,14,0.024546827794561934
573,Label Switching Router (MPLS Networking),20,0.035876132930513595
574,Landing Page Optimization,5,0.007552870090634441
575,Laravel,13,0.022658610271903325
576,Lean Functional Testing,9,0.015105740181268881
577,Leased Lines,4,0.005664652567975831
578,Legacy System Migration Workbench,9,0.015105740181268881
579,Lex (Software),3,0.0037764350453172203
580,Lightning Web Components,1,0.0
581,Linux,55,0.10196374622356495
582,Linux Administration,2,0.0018882175226586102
583,Linux Servers,5,0.007552870090634441
584,Load Balancing,6,0.009441087613293053
585,Local Area Networks,19,0.033987915407854986
586,Location-Based Services,24,0.043429003021148035
587,Log Shipping,2,0.0018882175226586102
588,Logic Systems,4,0.005664652567975831
589,Logical Data Models,6,0.009441087613293053
590,Logical Security,8,0.013217522658610273
591,Long Short-Term Memory (LSTM),57,0.10574018126888218
592,M (Programming Language),327,0.6155589123867069
593,MITRE ATT&CK Framework,10,0.016993957703927493
594,MSC Software,12,0.020770392749244714
595,Machine Learning,41,0.07552870090634442
596,Machine Learning Algorithms,5,0.007552870090634441
597,Machine Learning Methods,23,0.04154078549848943
598,Maintainability,2649,5.0
599,Maintaining Code,11,0.018882175226586105
600,Malware Analysis,3,0.0037764350453172203
601,Managed Code,1,0.0
602,Management Information Base,20,0.035876132930513595
603,Management Information Systems,10,0.016993957703927493
604,MariaDB,1,0.0
605,Markup Languages,1,0.0
606,Master Data Management,34,0.06231117824773414
607,Materialized View,8,0.013217522658610273
608,Metadata Repository,6,0.009441087613293053
609,Micro Focus,9,0.015105740181268881
610,Microservices,20,0.035876132930513595
611,Microsites,1,0.0
612,Microsoft Antivirus,7,0.011329305135951663
613,Microsoft App-V,3,0.0037764350453172203
614,Microsoft Azure,5,0.007552870090634441
615,Microsoft Cluster Server,2,0.0018882175226586102
616,Microsoft Exchange Servers,2,0.0018882175226586102
617,Microsoft Message Queuing,1,0.0
618,Microsoft Network Monitor,12,0.020770392749244714
619,Microsoft Operating Systems,1,0.0
620,Microsoft Operations Framework,4,0.005664652567975831
621,Microsoft Operations Manager,113,0.21148036253776437
622,Microsoft SQL Servers,62,0.11518126888217523
623,Microsoft Security Essentials,2,0.0018882175226586102
624,Microsoft Servers,3,0.0037764350453172203
625,Microsoft SharePoint,1,0.0
626,Microsoft Sharepoint Designer,3,0.0037764350453172203
627,Microsoft Site Servers,1,0.0
628,Microsoft Software,39,0.07175226586102719
629,Microsoft Solutions Framework,1,0.0
630,Microsoft Transaction Servers,1,0.0
631,Microsoft Windows,24,0.043429003021148035
632,Microsoft Windows XP,2,0.0018882175226586102
633,Migration Manager,1,0.0
634,Mobile Application Development,16,0.028323262839879154
635,Mobile Application Software,21,0.03776435045317221
636,Mobile Application Testing,71,0.1321752265861027
637,Mobile Device Management,1,0.0
638,Mobile Network Operator,12,0.020770392749244714
639,Mobile Phones,12,0.020770392749244714
640,Model View Controller,1,0.0
641,Model-Driven Development,6,0.009441087613293053
642,Modems,5,0.007552870090634441
643,Modularity,5,0.007552870090634441
644,MongoDB,17,0.030211480362537763
645,Monoliths,4,0.005664652567975831
646,Multi-Agent Systems,4,0.005664652567975831
647,Multicast Routing Protocols,1,0.0
648,Multithreading,1,0.0
649,Mvc.net,1,0.0
650,MySQL,36,0.06608761329305135
651,Nagios,1,0.0
652,Natural Programming,13,0.022658610271903325
653,Near Field Communication,4,0.005664652567975831
654,Nessus,6,0.009441087613293053
655,NetApp Data Storage,8,0.013217522658610273
656,Network Access Control,1,0.0
657,Network Access Servers,35,0.06419939577039276
658,Network Adapters,8,0.013217522658610273
659,Network Address Translation,3,0.0037764350453172203
660,Network Administration,8,0.013217522658610273
661,Network Analysis,2,0.0018882175226586102
662,Network Analysis Module,3,0.0037764350453172203
663,Network Architecture,18,0.03209969788519638
664,Network Attached Storage (Server Appliance),3,0.0037764350453172203
